accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,activity
-0.26098633,-0.9500122,0.20526123,-0.890625,-0.765625,0.203125,Sitting Normal
-0.25952148,-0.94122314,0.21014404,-0.609375,-0.609375,-0.59375,Sitting Normal
-0.27441406,-0.9553833,0.2230835,1.34375,-0.296875,0.734375,Sitting Normal
-0.25219727,-0.9570923,0.2111206,-0.78125,-0.59375,0.15625,Sitting Normal
-0.26635742,-0.942688,0.215271,-0.265625,-0.609375,-0.359375,Sitting Normal
-0.26733398,-0.94659424,0.22161865,0.59375,0.421875,0.515625,Sitting Normal
-0.265625,-0.9470825,0.21966553,0.359375,-0.921875,0.171875,Sitting Normal
-0.26342773,-0.9607544,0.22381592,0.578125,-0.375,0.421875,Sitting Normal
-0.2512207,-0.9414673,0.21282959,-0.34375,-0.453125,0.046875,Sitting Normal
-0.2644043,-0.94366455,0.21917725,0.6875,-0.296875,0.078125,Sitting Normal
-0.2697754,-0.954895,0.21380615,0.125,-0.359375,0.59375,Sitting Normal
-0.2607422,-0.94976807,0.21160889,-0.21875,-1.03125,-0.109375,Sitting Normal
-0.2541504,-0.9456177,0.21429443,0.5625,-0.171875,0.21875,Sitting Normal
-0.26098633,-0.95562744,0.21136475,0.078125,-0.65625,0.40625,Sitting Normal
-0.26733398,-0.9470825,0.21624756,0.109375,-0.53125,0.015625,Sitting Normal
-0.26220703,-0.9456177,0.21673584,0.421875,-0.234375,0.171875,Sitting Normal
-0.26293945,-0.9500122,0.21575928,0.0625,-0.4375,0.09375,Sitting Normal
-0.2619629,-0.94903564,0.21331787,0.109375,-0.625,0.15625,Sitting Normal
-0.2680664,-0.9463501,0.21600342,0.28125,-0.359375,0.234375,Sitting Normal
-0.2668457,-0.94610596,0.21453857,0.21875,-0.5625,0.15625,Sitting Normal
-0.2626953,-0.9487915,0.21624756,0.296875,-0.265625,0.109375,Sitting Normal
-0.2614746,-0.9463501,0.20941162,0.3125,-0.4375,0.3125,Sitting Normal
-0.26245117,-0.94415283,0.2098999,0.21875,-0.265625,0.1875,Sitting Normal
-0.26367188,-0.9417114,0.21038818,0.25,-0.34375,0.25,Sitting Normal
-0.26782227,-0.94903564,0.21429443,0.125,-0.578125,0.109375,Sitting Normal
-0.2619629,-0.94659424,0.21234131,0.359375,-0.5625,0.21875,Sitting Normal
-0.25512695,-0.9390259,0.2111206,-0.4375,0.203125,-0.03125,Sitting Normal
-0.2680664,-0.9607544,0.2218628,1.46875,-0.390625,0.421875,Sitting Normal
